BIRMINGHAM                 ,AL,33.8,37.1,43.7,50.5,59.7,67.7,71.4,70.8,64.3,52.9,43.5,36.3,52.7
HUNTSVILLE                 ,AL,31.8,35.5,42.2,50,59.3,67.1,70.4,69.4,62.5,51,41.8,34.4,51.4
MOBILE                     ,AL,40,43.3,49.1,55.4,63.7,70.4,72.7,72.6,68,57.6,48.6,42.2,57
MONTGOMERY                 ,AL,35.7,39.2,45.3,51.6,60.7,68.1,71.5,71,65.2,53.5,43.9,37.4,53.7
ANCHORAGE                  ,AK,11.1,13.8,19.2,29.1,39.6,47.7,52.2,50,42,29.1,16.6,13.2,30.4
ANNETTE                    ,AK,32.4,32.7,34.5,38.3,44,49.2,52.9,53.1,48.4,41.9,35.4,32.8,41.3
BARROW                     ,AK,-19.5,-20.4,-19.2,-4.9,16.5,30.8,34.8,34.1,28.5,12.6,-4.8,-13.8,6.3
BETHEL                     ,AK,0.8,4.4,7.8,19.3,33.3,43.8,48.8,47,39,24.7,11.6,3.9,23.8
BETTLES                    ,AK,-17.9,-14.5,-8,12.3,34.2,47.6,49.6,42.9,32.3,12.1,-8.1,-13.4,14.2
BIG DELTA                  ,AK,-7.8,-3.1,3.8,22.2,37.7,48,51.2,45.9,35.4,17.5,-0.4,-4.4,20.6
COLD BAY                   ,AK,23.6,24.3,25.1,29,35,41.4,46.4,47.7,43.3,35.4,30,26.6,34
FAIRBANKS                  ,AK,-16.9,-12.7,-2.5,20.6,37.8,49.3,52.3,46.4,35.1,16.5,-5.7,-12.9,17.4
GULKANA                    ,AK,-10.7,-4.5,3,20.4,33.4,42.3,46.5,42.4,33,18.4,-2,-7.4,18
HOMER                      ,AK,18.8,19.8,23.2,29.8,37.1,43.5,48,46.9,41.1,31.6,23.5,21.1,32.1
JUNEAU                     ,AK,23.7,25,28,33.3,40.6,46.9,50,49,44.4,37.8,29.1,25.6,36.2
KING SALMON                ,AK,8.8,10.9,15.6,25,34.5,41.9,47.3,46.6,39.7,25.7,15.3,10.8,26.9
KODIAK                     ,AK,25.9,26.1,27.7,32.3,38.7,44.5,49.2,49,43.2,34.5,28.7,26.3,35.5
KOTZEBUE                   ,AK,-9.5,-7.8,-6.7,5.4,26,39.9,49.7,47.3,37.9,20.1,4,-4.1,17
MCGRATH                    ,AK,-15.3,-9.5,-1.6,18.6,36.1,46.7,50.7,45.8,36.1,18.3,-2.1,-11.8,17.8
NOME                       ,AK,-2.8,-0.5,2.1,13.5,30.5,40.7,46.2,44.3,36.9,23,10.7,2.2,20.7
ST. PAUL ISLAND            ,AK,21.1,20.2,20.4,25.1,31.9,38,43.6,45.6,41.1,34.4,29.1,24.7,31.3
TALKEETNA                  ,AK,6.2,8.7,14.2,25.6,37,47.1,51.8,48.2,39.2,25.8,12.1,8.3,27.1
VALDEZ                     ,AK,19.2,20.9,24.2,31.3,39.4,45.8,48.5,46.6,41.1,33.3,24,21.6,33
YAKUTAT                    ,AK,22.4,23,24.6,29.9,37.2,44.3,48.6,47.2,41.2,34.7,26.3,24.3,33.7
FLAGSTAFF                  ,AZ,17.3,19.3,23.6,28.5,35,41.9,50.9,50.1,42,31.5,22.9,16.8,31.7
PHOENIX                    ,AZ,45.6,48.7,53.5,60.2,69.4,77.7,83.5,82.7,76.9,64.8,52.7,44.8,63.5
TUCSON                     ,AZ,39.8,42.2,46.2,52,60.5,69.3,74.4,73.3,68.6,57.3,46.1,39.1,55.8
WINSLOW                    ,AZ,20.8,24.8,30.4,36.7,45.4,53.8,61.9,60.8,52.3,39.3,27.9,20.6,39.6
FORT SMITH                 ,AR,29,33.1,41.1,49.5,59.2,67.5,71.6,70.8,62.3,50.7,40.3,31.2,50.6
LITTLE ROCK                ,AR,31.2,34.5,42.7,51,61.1,69.4,73.2,72.4,64.5,52.6,42.2,33.7,52.5
BAKERSFIELD                ,CA,39.3,42.4,46.5,50.2,57.5,64.2,70.5,69,64,55,44.6,39,53.6
BISHOP                     ,CA,23,26.5,31.2,36.3,44.2,51,56.2,53.8,47,37.4,27.8,22.1,38.1
BLUE CANYON                ,CA,34.6,34.2,35.5,38.8,46.3,54,62,61.1,56.1,47.9,38.2,33.4,45.3
FRESNO                     ,CA,38.3,41.5,45.6,49.4,56.2,62.4,67.6,66.2,61.5,53,43.4,38,52
LONG BEACH                 ,CA,46.1,48,50.5,53.2,57.6,61,64.5,64.9,63.2,58.3,50.8,45.8,55.4
LOS ANGELES                ,CA,47.8,49.3,51,53.5,57.1,60.3,63.6,64.1,63.1,58.7,52,47.5,55.7
REDDING                    ,CA,36.5,39.3,42.9,46.1,53.8,61.6,66,63,57.7,49.4,40.9,36.3,49.5
SACRAMENTO                 ,CA,38.8,41.4,44.1,46.2,51.1,55.8,58.4,58,55.7,50.2,42.8,38.4,48.4
SAN DIEGO                  ,CA,49,50.7,53.2,55.9,59.4,62,65.4,66.7,65.2,60.6,53.6,48.4,57.5
SAN FRANCISCO              ,CA,45.7,47.5,48.5,49.2,51,52.8,54.1,55.1,55.1,53.7,50.1,46.1,50.8
SANTA BARBARA              ,CA,40.7,43.7,45.8,47.8,51.2,54.2,57.8,57.6,55.8,51.1,44.4,40.2,49.2
SANTA MARIA                ,CA,39.5,41.7,43,44,47.4,50.6,53.8,54.2,52.7,48.7,43,39.1,46.5
STOCKTON                   ,CA,37.7,40.2,42.8,45.9,51.6,56.8,60,59.2,56.5,49.7,41.9,37.2,48.3
ALAMOSA                    ,CO,-1.7,5.7,16.9,24.4,33.4,40.6,46.9,45.9,36.9,24.5,12.1,0.5,23.9
COLORADO SPRINGS           ,CO,17.7,19.5,26,33.3,42.7,51.3,56.9,55.7,47.3,35.8,25.2,17.5,35.8
DENVER                     ,CO,17.4,18.9,26.4,33.3,42.7,52.3,58.9,57.9,48.3,36.6,24.5,17.1,36.3
GRAND JUNCTION             ,CO,17,23.7,31.4,38.1,47,56.3,63.2,61.3,52,39.9,27.6,18.5,39.7
PUEBLO                     ,CO,14,17.3,25.6,33.9,44.1,52.8,58.7,57.5,47.7,34.2,22.5,14.2,35.3
BRIDGEPORT                 ,CT,23,25.2,31.4,41,50.6,60.4,66.4,65.8,58.3,46.5,38,28.4,44.7
HARTFORD                   ,CT,17.7,20.9,27.9,38.4,47.7,57.3,62.7,61.1,52.7,41.1,33.2,23.4,40.4
WILMINGTON                 ,DE,24.6,26.8,33.6,43,52.6,62.6,67.6,66.1,58.2,46.1,37.4,28.7,45.7
WASHINGTON DULLES          ,DC,23.9,26,32.9,42.1,51.2,61,65.5,64.2,56.3,43.8,35.3,27.1,44.2
WASHINGTON NAT'L           ,DC,28.6,30.9,37.6,47,56.5,66.3,71.1,69.7,62.4,50.6,41.2,32.5,49.6
DAYTONA BEACH              ,FL,47.3,50.1,54.2,58.6,65.4,71.4,73,73.4,72.2,65.9,57.3,50.5,61.7
FORT MYERS                 ,FL,53.7,55.9,59.4,63.1,68.7,73.5,74.5,74.9,74.3,69.1,62,56.4,65.5
GAINESVILLE                ,FL,42.3,45.3,50,54.9,62.4,69.3,71.5,71.6,69,60.5,51.1,44.4,57.8
JACKSONVILLE               ,FL,41.4,44.7,49.7,54.7,62.7,70,72.6,72.7,69.5,60.5,50.9,43.9,57.8
KEY WEST                   ,FL,64.2,66,68.3,71.6,75.7,78.8,79.8,79.6,78.5,76,71.7,66.9,73.1
MIAMI                      ,FL,59.9,62.3,64.9,68.3,72.9,76,77.3,77.4,76.5,73.5,68.1,63,70.1
ORLANDO                    ,FL,49.2,52.1,55.8,60,66.4,72,73.6,74.1,72.7,66.4,58.6,52.4,62.8
PENSACOLA                  ,FL,42.2,45.5,51.2,57.6,66,72.5,74.5,74.2,70.3,60.3,51.2,44.4,59.2
TALLAHASSEE                ,FL,39,41.9,47.1,52.3,61.6,69.5,72,72.1,68.1,57.3,47.5,41.1,55.8
TAMPA                      ,FL,51.6,54.4,58.2,63,69.7,74.8,75.9,76.2,74.5,68,60.3,54.2,65.1
VERO BEACH                 ,FL,51.7,54.1,57.6,61.2,67.6,72.1,73.4,73.6,73.3,68.9,61.5,55,64.2
WEST PALM BEACH            ,FL,56.8,59.1,62.2,65.8,71,74.3,75.5,75.9,75.2,71.7,65.5,60,67.8
ATHENS                     ,GA,33.1,36.3,42.5,49.3,58.2,66.4,69.8,69.3,62.7,51.5,42.4,35,51.5
ATLANTA                    ,GA,34.3,37.7,44.1,51.5,60.3,68.2,71.3,70.7,64.8,54,44.5,36.5,53.2
AUGUSTA                    ,GA,32.8,35.9,42,48.1,57.3,66.2,69.8,69.3,62.6,51,41.4,34.5,51
COLUMBUS                   ,GA,36.8,40.1,46.1,52.5,61.9,69.7,72.9,72.4,66.7,55.6,46.1,38.9,55.1
MACON                      ,GA,34.8,38,44.1,50.1,59.2,67.6,71,70.3,63.9,52.4,43,36.4,52.6
SAVANNAH                   ,GA,38.6,41.7,47.6,53.6,62.1,69.8,72.8,72.4,67.8,57.5,47.9,40.8,56.1
HILO                       ,HI,63.8,63.5,64.6,65.5,66.9,68.2,69.3,69.7,69.1,68.5,67.3,65.1,66.8
HONOLULU                   ,HI,66.3,66.1,67.7,69.4,70.9,73.4,74.5,75.1,74.4,73.4,71.4,68.3,70.9
KAHULUI                    ,HI,63.4,63,64.4,65.7,67.1,69.6,71.1,71.4,70.4,69.5,68,65.1,67.4
LIHUE                      ,HI,65.5,65.5,67,68.8,70.4,73,74.1,74.6,74.1,72.9,70.8,67.6,70.4
BOISE                      ,ID,24.7,28.3,34.4,39.3,46.5,53.7,60.4,59.6,51,40.9,31.9,24,41.3
LEWISTON                   ,ID,29.6,30.9,35.6,40.3,47,53.4,59.6,59.2,51,41.1,34.1,28,42.5
POCATELLO                  ,ID,16,19.2,27.1,32.9,39.7,46.5,52,50.7,42.1,33,24.1,16.1,33.3
CHICAGO                    ,IL,16.5,20.1,29.2,38.8,48.3,58.1,63.9,62.9,54.3,42.8,32.4,20.7,40.8
MOLINE                     ,IL,14.3,18.3,29.4,40.5,50.7,60.7,65,63.2,53.9,42.4,30.9,18.6,40.8
PEORIA                     ,IL,17,21.2,31,41.7,51.6,61.4,65.5,63.7,55.2,43.5,32.9,21,42.2
ROCKFORD                   ,IL,13.5,17.7,27.5,38.1,48.4,58.5,63,61.3,52.4,40.7,30.3,17.7,39.2
SPRINGFIELD                ,IL,18.7,22.6,32.2,42.4,52.6,61.9,65.4,63.6,54.6,43.8,33.9,22.5,43
EVANSVILLE                 ,IN,24,27.2,35.3,44.6,54.5,63.9,67.5,65.4,56.8,45.5,36.4,27.1,45.8
FORT WAYNE                 ,IN,17.4,20.3,28.7,38.9,49.2,59.3,62.7,60.8,52.6,41.8,32.9,22.1,40.6
INDIANAPOLIS               ,IN,20.5,23.9,32.8,42.7,52.6,62.1,65.8,64.4,56.2,44.7,35.1,24.4,43.9
SOUTH BEND                 ,IN,17.6,20.5,28.4,38.6,48.6,58.7,63.1,61.7,53.7,42.6,33.3,22.4,40.8
DES MOINES                 ,IA,14.3,18.8,29.7,41.1,52.2,62,66.8,64.8,55.2,43,30.5,18,41.5
DUBUQUE                    ,IA,11.2,15.8,26.6,37.8,48.4,58.1,62.1,60.3,51.6,40,28.5,15.3,38.1
SIOUX CITY                 ,IA,10.2,15.2,25.5,36.8,48.7,58.6,63.2,60.9,50.6,38,25.2,13,37.3
WATERLOO                   ,IA,9.5,14.6,26,37.2,49,58.9,62.8,60.2,50.7,38.7,26.8,13.5,37.4
CONCORDIA                  ,KS,18.7,22.2,31.4,41.2,52,61.9,67.4,65.5,56,43.8,31.1,20.5,42.7
DODGE CITY                 ,KS,20.1,23.4,31,40.2,51.5,61,66.3,65.3,56,43.4,30.3,21.2,42.6
GOODLAND                   ,KS,16.9,19.4,26.5,34.7,45.8,55.6,61.3,60,50.1,37.5,25.7,17.3,37.6
TOPEKA                     ,KS,19.6,23.8,33.3,43.5,54.2,63.7,68.4,66.2,56.3,44.7,33,22.3,44.2
WICHITA                    ,KS,21.9,26.1,35,44.5,55.2,64.9,69.8,68.8,59.5,46.9,34.6,24.1,46
JACKSON                    ,KY,26.8,29.9,37.3,46.7,54.7,62.5,66.1,65,58.2,48,39.4,30.2,47.1
LEXINGTON                  ,KY,24.9,28.1,35.7,44.7,53.9,62.5,66.3,65,57.5,46.6,37.3,28,46
LOUISVILLE                 ,KY,26.8,29.9,37.8,47.3,57,66,69.9,68.5,60.5,48.9,39.5,30,48.6
PADUCAH                    ,KY,25.8,29.5,37.7,46.6,56.3,64.9,68.5,66.1,57.8,46.7,37.9,28.6,47.3
BATON ROUGE                ,LA,41.2,44.5,50.3,56.8,65.2,71.4,73.7,73.4,68.5,57.9,48.9,42.7,57.9
LAKE CHARLES               ,LA,42.3,45.5,51.3,58.2,66.6,72.7,74.6,74.1,69.1,59.4,50.7,44.1,59.1
NEW ORLEANS                ,LA,44.7,48,53.5,60,68.1,73.5,75.3,75.3,72,62.6,53.5,46.9,61.2
SHREVEPORT                 ,LA,36.2,39.7,46.3,53.6,62.7,69.5,72.7,72.1,65.6,54.6,45.2,37.7,54.7
CARIBOU                    ,ME,0.8,4.2,15.2,29.5,40.5,49.8,55.2,52.9,44.5,34.6,24.7,10.3,30.3
PORTLAND                   ,ME,13.4,16.4,24.9,34.7,44.2,53.6,59.4,58.2,50.3,38.9,30.9,20.4,37.2
BALTIMORE                  ,MD,24.4,26.6,33.5,42.7,52,61.9,66.8,65.2,57.6,45.4,36.5,28.1,45.1
BOSTON                     ,MA,22.2,24.7,31.1,40.6,49.9,59.5,65.4,64.6,57.4,46.5,38,28.2,44.1
WORCESTER                  ,MA,16.8,19.4,26.5,37,46.8,56,61.5,60.4,52.9,41.7,33,22.6,39.6
ALPENA                     ,MI,11.5,11.4,19.2,31,40.5,49.7,55.3,53.7,46.5,36.4,28.3,18.4,33.6
DETROIT                    ,MI,19.1,21,28.6,39.4,49.4,59.5,63.9,62.6,54.7,43.3,34.3,24.1,41.8
FLINT                      ,MI,15.3,16.9,24.8,35.5,45.3,55.2,59.2,57.9,49.9,39.4,31,20.8,37.7
GRAND RAPIDS               ,MI,18.1,19.9,26.9,37.7,47.8,57.7,62.2,61,52.7,41.8,33,23.5,40.3
HOUGHTON LAKE              ,MI,9.9,10.6,18.5,31,41.5,50.2,54.5,52.8,45.5,35.9,27.4,17.3,33
LANSING                    ,MI,16.8,18.5,26,37,46.7,56.7,60.6,59.4,51.2,40.7,32.4,22.3,39.1
MUSKEGON                   ,MI,20.1,21.1,27,37.3,46.9,56.6,61.9,61,52.8,42.5,34,25.3,40.6
SAULT STE. MARIE           ,MI,7.6,9.4,17.9,31.1,40.9,48.7,54.4,54.5,47.7,37.8,28.1,15.8,32.9
DULUTH                     ,MN,1.5,6.1,17.5,30,40.6,49.3,55.4,54.4,46.1,34.8,21.9,7.3,30.5
INTERNATIONAL FALLS        ,MN,-6.6,-1.3,12.5,27.1,38.7,48.4,52.6,50.7,41.8,31,17.4,0.4,26.2
MINNEAPOLIS-ST.PAUL        ,MN,7.5,12.8,24.3,37.2,48.9,58.8,64.1,61.8,52.4,39.7,26.2,12.3,37.3
ROCHESTER                  ,MN,7.7,12.4,24.3,36.4,47.4,57.2,61.3,59.3,50.4,38.4,26,12.2,36.2
SAINT CLOUD                ,MN,1.8,7.2,19.8,32.7,44.2,53.6,58.4,56,46.8,34.9,21.7,7.1,32.1
JACKSON                    ,MS,35.3,38.5,45.3,52.2,61.6,68.6,71.6,70.9,64.6,53.1,44,37.3,53.7
MERIDIAN                   ,MS,33.1,36.4,42.3,49.1,58.5,66.1,69.4,69,62.9,51,41.6,35.6,51.3
TUPELO                     ,MS,31.7,35.3,42.5,50.2,59.6,67.6,71.2,70.1,62.8,50.8,41.7,34.3,51.5
COLUMBIA                   ,MO,20.9,24.9,34,44,53.5,62.8,67,65.4,56.4,45,34.9,23.7,44.5
KANSAS CITY                ,MO,19.6,23.8,33.4,44,54.2,63.6,68.4,66.8,57.3,45.9,34.1,22.6,44.6
ST. LOUIS                  ,MO,23.7,27.6,36.6,47.2,57.2,66.8,71,69.4,60.6,49,38.1,26.9,47.9
SPRINGFIELD                ,MO,22.4,26.1,35.2,44.3,54.4,63.1,67.6,66.6,57.7,46.5,35.4,25,45.5
BILLINGS                   ,MT,17.8,20.6,26.9,34.7,43.6,52.1,58.8,57.3,47.5,37.1,26.3,17.8,36.8
GLASGOW                    ,MT,4.2,9.4,20.9,32.1,42.3,51.3,57.1,56,44.6,32.4,19,6.6,31.4
